question,answer
"A buyer from a remote Tier 3 city finds a truck on the 91Trucks website. How does the ""phygital"" model help?","The buyer can view details online, then potentially visit a nearby physical store for inspection, complete paperwork, and arrange for delivery, bridging the geographical gap."
A seller wants to quickly offload a truck to raise capital for another business. Can 91Trucks help with a fast sale?,"Yes, their streamlined inspection and valuation process, coupled with a wide buyer network, aims to enable quicker sales compared to finding individual buyers."
What if a purchased used vehicle from 91Trucks develops a major issue shortly after sale?,"While 91Trucks focuses on certified vehicles and fitness checks, a robust after-sales support system and potential warranty (if offered) would be crucial for such scenarios, ensuring customer confidence."
How would 91Trucks advise a business owner on choosing between a diesel,"CNG, or electric commercial vehicle?,They would provide detailed information on each fuel type's pros and cons (running costs, range, emissions, charging/refueling infrastructure) relative to the business's operational needs and budget."
A company needs to buy 5-10 specific commercial vehicles for a new project. Can 91Trucks handle bulk orders?,"Yes, they cater to fleet operators and would likely have a dedicated team to manage larger requirements, sourcing multiple vehicles and streamlining the acquisition process."
What kind of assistance does 91Trucks provide for RTO documentation if the buyer is from a different state?,"They would assist with inter-state RTO transfer procedures, ensuring all necessary documentation is completed correctly and efficiently according to regional regulations."
How does 91Trucks handle potential disputes between buyers and sellers,"particularly for used vehicles?,As a platform, they aim to prevent disputes through transparency and thorough inspections. If issues arise, they would likely act as a facilitator to help resolve them, leveraging their trust-based model."
A customer needs information on a very specific,"less common commercial vehicle model. Can 91Trucks assist?,Yes, their extensive database and industry expertise aim to provide comprehensive information even for less common models, potentially sourcing them if requested."
What kind of partnerships does 91Trucks seek with local mechanics or service centers?,"They likely seek partnerships to offer post-purchase service infrastructure, ensuring buyers have access to reliable maintenance and repair options."
How does 91Trucks collaborate with insurance providers to offer comprehensive options?,"They partner with multiple insurance companies to provide a range of policies tailored for commercial vehicles, allowing buyers to choose the best coverage at competitive rates."
Does 91Trucks work with government bodies or initiatives for commercial vehicle safety/compliance?,"While not explicitly stated, their commitment to ""fitness checks"" and RTO transfers indicates adherence to, and potential collaboration with, regulatory bodies for compliance."
How does 91Trucks leverage partnerships with automotive manufacturers for new vehicle sales?,"They act as a digital discovery platform and lead generator, connecting interested buyers directly with authorized dealers and manufacturers."
Are there plans for 91Trucks to partner with charging infrastructure providers for EVs?,"As they move into ECVs, partnering with charging network providers would be a logical step to offer a complete solution to electric commercial vehicle buyers."
Does 91Trucks have any tie-ups with commercial vehicle financing companies specializing in rural areas?,"Given their focus on Tier 2/3 cities and smaller operators, partnerships with regional or rural-focused NBFCs would be crucial for broader financial inclusion."
How does 91Trucks benefit from its investors beyond just capital?,"Investors like Arkam Ventures and Titan Capital bring strategic guidance, industry connections, and expertise in scaling tech-led businesses, significantly benefiting 91Trucks."
Does 91Trucks participate in industry events or exhibitions?,"To build brand awareness and network, they likely participate in or host events relevant to the commercial vehicle industry."
How does 91Trucks ensure smooth integration with its partners' systems (e.g.,"banks, RTO)?,They invest in API integrations and digital workflows to ensure seamless data exchange and process automation with their financial and regulatory partners."
What kind of feedback loop exists between 91Trucks and its dealer partners?,"They would likely have regular communication channels, performance reviews, and feedback sessions to optimize their partnership strategies and improve lead quality."
What kind of work culture does 91Trucks foster?,"Given their mission and rapid growth, they likely foster a culture of innovation, customer-centricity, teamwork, and a strong bias towards execution."
How does 91Trucks attract and retain top talent in a competitive market?,"By offering competitive compensation, growth opportunities, a challenging work environment, and the chance to make a significant impact on an industry."
What is the average experience level of 91Trucks' core team?,"The co-founders alone bring over 40 years of collective experience, indicating a highly experienced leadership team."
How does 91Trucks ensure employee training and development?,"They would invest in continuous training programs, especially for sales and operational teams, to keep them updated on product knowledge, market trends, and customer service best practices."
What career opportunities are available at 91Trucks for fresh graduates or experienced professionals?,"Opportunities would exist in technology (AI, software development), sales, marketing, operations, finance, and customer service, given their expansion plans."
How does 91Trucks promote diversity and inclusion within its workforce?,"While specific initiatives are not public, a growing startup typically aims for diverse talent to bring varied perspectives and foster innovation."
What are the key values that drive the 91Trucks team?,"Key values would likely include transparency, customer trust, innovation, efficiency, and a commitment to organizing the commercial vehicle sector."
How does 91Trucks ensure employee safety and well-being,"especially for those in physical stores?,They would implement standard workplace safety protocols, provide necessary equipment, and ensure a safe working environment at their physical locations."
Does 91Trucks offer remote work options for certain roles?,"Like many tech companies, they may offer hybrid or remote options for roles that don't require physical presence, such as some tech or content positions."
How does 91Trucks measure employee satisfaction and engagement?,"Through regular feedback mechanisms, surveys, and performance reviews to ensure a positive and productive work environment."
How does 91Trucks handle the reconditioning or refurbishment of used vehicles?,"While they perform fitness checks, it's likely they have partnerships with service centers or in-house capabilities to perform necessary repairs and reconditioning to meet quality standards before sale."
What is the typical lead time for sourcing a specific type of used commercial vehicle if not in inventory?,Lead times would vary significantly based on vehicle rarity and market availability. 91Trucks would leverage its network to source the vehicle as quickly as possible.
How does 91Trucks manage spare parts availability for the vehicles they sell?,"While they don't explicitly sell spare parts, they likely guide customers to authorized service centers or reliable spare part dealers post-purchase, or may consider this as a future value-add service."
What strategies does 91Trucks employ to manage potential depreciation risks of its inventory?,"They would use data-driven pricing models, efficient inventory turnover strategies, and potentially hedging techniques to minimize the impact of vehicle depreciation."
How does 91Trucks ensure the legality and clear title of every used vehicle it sells?,"They conduct thorough background checks, verify ownership documents, and ensure all previous liens or financial encumbrances are cleared before listing a vehicle for sale."
Are there any specific certifications or quality standards 91Trucks adheres to for its used vehicles?,"While specific third-party certifications aren't widely published, their ""fitness checks"" and emphasis on transparency imply adherence to internal quality benchmarks to ensure vehicle reliability."
How does 91Trucks handle the logistics of vehicle movement between its procurement points and physical stores?,They would have dedicated logistics teams or third-party transport partners to ensure safe and efficient movement of vehicles across their network.
What is the role of demand forecasting in 91Trucks' inventory management?,"Demand forecasting, likely powered by data analytics, helps them anticipate market needs for specific vehicle types and ensures optimal stocking levels across their stores."
How does 91Trucks manage the end-of-life process for older vehicles that are traded in or acquired?,"They might facilitate the legal scrapping of non-resalable vehicles through authorized recyclers, aligning with government policies like the Vehicle Scrappage Policy."
What kind of due diligence does 91Trucks perform on its financial partners (banks,"NBFCs)?,They conduct due diligence to ensure partners are reputable, offer competitive interest rates, and provide reliable services to their customers."
How does 91Trucks gather customer feedback and use it for service improvement?,"They likely use surveys, direct customer interactions at stores, online reviews, and dedicated feedback channels to gather insights and continuously refine their services."
What measures does 91Trucks take to ensure customer data privacy and security?,"They implement robust data encryption, secure servers, access controls, and comply with data protection regulations to safeguard customer information."
Is there a dedicated customer relationship manager (CRM) assigned to each buyer or seller?,"For high-value transactions or fleet purchases, a dedicated CRM might be assigned to provide personalized support throughout the journey."
How does 91Trucks handle after-sales queries related to vehicle performance or documentation issues?,"They would have a dedicated customer support team accessible via phone, email, or physical store visits to address any post-sales concerns."
Does 91Trucks offer any kind of roadside assistance program or facilitate access to one?,"While not explicitly stated as a core offering, they might partner with third-party providers or recommend services for roadside assistance, adding value for commercial vehicle owners."
How does 91Trucks ensure transparent communication regarding vehicle history and condition?,"Through detailed inspection reports, clear categorization of vehicle condition, and readily available vehicle history checks for used vehicles."
Can customers track the status of their vehicle purchase or loan application online?,A tech-driven platform like 91Trucks would likely offer online dashboards or status trackers for customers to monitor their purchase or loan application progress.
How does 91Trucks handle customer education regarding commercial vehicle financing complexities?,"They simplify the process by providing clear explanations of loan terms, interest rates, and eligibility criteria, and offering guidance through the application process."
Does 91Trucks offer any training or workshops for new commercial vehicle owners (e.g.,"maintenance tips)?,While not explicitly part of their current offerings, providing educational content or facilitating workshops could be a valuable future service, especially for first-time buyers."
How does 91Trucks manage customer expectations regarding delivery timelines and vehicle availability?,"Through clear communication at every stage of the sales process, providing estimated timelines, and proactive updates on vehicle status."
What is the recruitment process like for sales and operational roles at 91Trucks' physical stores?,"It would involve assessing candidates for industry knowledge, customer service skills, and alignment with the company's ""phygital"" approach and values."
How does 91Trucks foster a culture of continuous learning and improvement among its employees?,"Through regular training sessions, performance feedback, opportunities for skill development, and encouraging cross-functional collaboration."
What are the key performance indicators (KPIs) for 91Trucks' sales representatives?,"KPIs would include sales targets (units and value), customer satisfaction ratings, conversion rates, and adherence to company processes."
How does 91Trucks ensure employee motivation and retention in a fast-paced environment?,"Through competitive compensation, performance incentives, career growth paths, a positive work environment, and recognition programs."
What kind of internal communication tools does 91Trucks use to connect its remote teams and physical stores?,"They would use collaborative platforms, internal messaging systems, and regular virtual meetings to ensure seamless communication across locations."
How does 91Trucks handle performance management and professional development for its staff?,"Through regular performance reviews, goal setting, identifying training needs, and providing opportunities for career advancement within the organization."
What is 91Trucks' approach to employee safety and well-being in the workplace?,"They adhere to occupational safety standards, provide necessary equipment, and foster a supportive environment for employee well-being."
Does 91Trucks have a mentorship program for new employees?,"A mentorship program could be a valuable initiative to onboard new hires, especially in sales and operations, leveraging the experience of seasoned employees."
How does 91Trucks manage internal conflicts or grievances among employees?,They would have clear HR policies and a process for employees to raise concerns and resolve conflicts fairly.
What is the typical career progression path within 91Trucks for a sales executive at a physical store?,"Progression could involve moving to senior sales roles, store management, regional management, or even transitioning to corporate roles based on performance and interest."
How does 91Trucks perceive the impact of increasing road tolls and fuel costs on its target customers?,"They understand these challenges directly affect operational costs for fleet owners and drivers, which strengthens their value proposition of offering cost-effective and fuel-efficient vehicles."
What is 91Trucks' strategy for penetrating less-connected or highly rural markets?,"This would involve leveraging their vernacular content strategy, utilizing local agents or mobile outreach, and strategically placing smaller-format physical stores or service points."
How does 91Trucks plan to adapt to evolving vehicle technologies like autonomous driving in CVs?,"While a long-term prospect for India, they would closely monitor these trends and integrate relevant information or future vehicle models onto their platform as they become commercially viable."
What is 91Trucks' approach to sustainability and green initiatives in the CV sector?,They are supporting the transition to cleaner fuels by offering information and access to ECVs and other fuel-efficient commercial vehicles.
How does 91Trucks assess the creditworthiness of small fleet operators and individual drivers?,"They partner with financial institutions that specialize in this segment, utilizing alternative data points and tailored credit assessment models beyond traditional metrics."
What measures does 91Trucks take to mitigate risks associated with economic slowdowns affecting the logistics industry?,"By diversifying their vehicle offerings (e.g., catering to essential services like food delivery), focusing on cost-effective used vehicles, and offering flexible financing options."
How does 91Trucks maintain competitive pricing for its vehicles and services?,"Through efficient sourcing, low operational overheads due to technology integration, and optimizing their supply chain to pass on cost benefits to customers."
What is 91Trucks' long-term vision regarding fleet management services for its customers?,"While primarily a sales platform, offering or facilitating fleet management solutions could be a natural extension, helping customers optimize vehicle usage and maintenance."
How does 91Trucks plan to build a strong brand recall in a market dominated by large OEMs?,"Through aggressive digital marketing, a strong physical presence, excellent customer service, and building a reputation for trust and reliability in the used CV segment."
What is 91Trucks' strategy for expanding its network of dealer partners for new vehicles?,"By demonstrating value to dealers through high-quality lead generation, efficient sales processes, and opportunities to reach a wider customer base."
How does 91Trucks navigate the complex regulatory landscape of vehicle registration and transfer across states?,"They have dedicated teams or experts who are well-versed in state-specific RTO regulations, ensuring compliance and smooth processing for customers."
What is 91Trucks' stance on government incentives for electric commercial vehicles?,"They would actively highlight and help customers avail any government subsidies or incentives available for purchasing ECVs, aligning with India's push for green mobility."
How does the Goods and Services Tax (GST) regime impact 91Trucks' operations and pricing?,"GST compliance is integrated into their financial operations, and its impact on vehicle pricing would be transparently communicated to customers."
Does 91Trucks participate in any industry bodies or associations related to commercial vehicles?,"Participation in such bodies could help them stay updated on industry trends, advocate for policy changes, and network with other stakeholders."
How does 91Trucks ensure compliance with environmental norms for commercial vehicles?,By focusing on selling vehicles that meet current emission standards and promoting cleaner alternatives like CNG and electric vehicles.
What is the impact of mandatory fitness testing for commercial vehicles on 91Trucks' business model?,"It strengthens their value proposition as they already offer and facilitate fitness checks, ensuring vehicles meet regulatory requirements and are roadworthy."
How does 91Trucks handle cases involving vehicles with outstanding challans or legal issues?,"They ensure all outstanding dues or legal encumbrances are cleared before any vehicle is listed or sold, providing a clear title to the buyer."
What is the role of the Vehicle Scrappage Policy (VSP) in influencing 91Trucks' inventory?,"The VSP encourages the scrapping of older, polluting vehicles, which could lead to a demand for newer, more efficient used vehicles that 91Trucks aims to provide."
How does 91Trucks adapt to changes in taxation or import duties on commercial vehicle parts or whole units?,They continuously monitor policy changes and adjust their operational strategies and pricing models accordingly to remain competitive and compliant.
Does 91Trucks have a lobbying presence to influence policies favorable to organized CV sales?,"While not a direct lobbyist, their growth and market insights could position them as a voice within the industry to advocate for policies that support formalization and growth."
How does 91Trucks leverage local insights from its physical stores for its online platform?,"Information from local stores on specific regional demands, customer preferences, and competitive landscape helps refine online inventory, marketing, and vernacular content."
Does 91Trucks offer any value-added services like vehicle tracking systems or GPS installation?,"While not a primary focus, they might facilitate partnerships with providers of such services, as they are crucial for modern fleet management."
How does 91Trucks manage its online reputation and customer reviews?,"They actively monitor online reviews, respond to feedback (both positive and negative), and strive to ensure positive customer experiences that translate into good reviews."
What is the typical demographic profile of a 91Trucks customer?,"The demographic largely consists of small fleet operators, individual truck owners, and first-time buyers, typically from semi-urban and rural areas."
How does 91Trucks engage with the commercial vehicle driver community?,"Through social media, online forums, and potentially through local events or outreach at their physical stores, understanding their needs and building rapport."
Does 91Trucks plan to expand its offerings to include services like driver training or licensing assistance?,"While not immediate, such services could be a valuable addition to their full-stack ecosystem, supporting the broader commercial vehicle community."
How does 91Trucks maintain its competitive edge in a dynamic market?,"By consistently innovating its phygital model, expanding its reach, strengthening its full-stack services, leveraging technology, and focusing on customer trust."
What are the biggest learning experiences for 91Trucks since its founding?,"Learning experiences would likely include understanding the nuances of the unorganized market, effectively integrating online and offline models, and navigating scaling challenges."
How does 91Trucks contribute to formalizing the Indian logistics ecosystem?,"By providing formal channels for vehicle transactions, financing, and documentation, they introduce structure and transparency to a largely informal sector."
What is the ultimate vision for 91Trucks' ecosystem beyond just vehicle sales?,"To become a comprehensive ecosystem provider for commercial vehicle owners, offering everything from acquisition and financing to maintenance, insurance, and potentially fleet management solutions."
Which tractor brands are featured on 91tractors?,"91tractors features a wide range of trusted tractor brands, including Swaraj, Mahindra, John Deere, Sonalika, Massey Ferguson, Eicher, and New Holland. You can explore various models from these brands, along with their detailed specifications and pricing."
Can I find tractor service centers and spare parts on 91tractors?,"Yes, 91tractors provides extensive information on tractor service centers and spare parts. You can locate authorized dealers and service centers across India and find resources for genuine spare parts to ensure the optimal performance and longevity of your tractor."
What kind of construction equipment does 91infra feature?,"91infra is a leading platform for construction equipment in India, featuring a wide array of machines such as Backhoe Loaders, Excavators, Wheel Loaders, Bulldozers, and more. It includes popular brands like JCB, CAT, ACE, BOBCAT, BULL, and CASE, among others."
Does 91infra provide information on JCB construction vehicles?,"Yes, 91infra offers detailed information on various JCB construction vehicles, including models like JCB 2DX, JCB 3DX, and JCB 4DX. You can find their specifications, prices, user reviews, and comparisons with other brands on the platform."
Can I get financing options for construction equipment on 91infra?,"Yes, 91infra assists users in securing financing for construction equipment. Similar to its partner platforms, it provides tools like EMI calculators and information on down payment options, and helps connect you with dealers for the best quotes and loan processes."
What advanced technologies are integrated into construction equipment listed on 91infra?,"Construction equipment listed on 91infra often features advanced technologies such as GPS for precise navigation, telematics for real-time data monitoring, automated controls for enhanced efficiency, and AI for predictive maintenance. These innovations improve operational efficiency, safety, and sustainability."
What if I need emergency roadside assistance for my commercial vehicle purchased through 91trucks?,"While 91trucks primarily facilitates vehicle sales and information, for emergency roadside assistance, you should contact the specific vehicle manufacturer's customer support or your insurance provider. We recommend having their emergency contact numbers readily available after your purchase."
Can I sell a damaged or non-functional commercial vehicle on 91trucks.com?,"Yes, you might be able to sell a damaged or non-functional commercial vehicle on 91trucks.com, as we also deal in used commercial vehicles. However, it's crucial to disclose the vehicle's condition accurately during the listing process. Potential buyers will be informed, and offers will be made considering the necessary repairs or salvage value."
What if the vehicle I purchased through 91trucks.com has a hidden defect?,"91trucks aims to ensure transparency in all transactions. For new vehicles, manufacturer warranties apply. For used vehicles, we encourage thorough inspection and provide detailed information where available. In case of a hidden defect not disclosed, please contact our support at help@91trucks.com immediately for assistance in resolving the issue, as per our terms and conditions."
Are there any hidden fees when buying or selling on 91trucks.com?,"91trucks strives for transparency. Any applicable fees for services such as processing, documentation, or loan facilitation will be clearly communicated to you during the transaction process. We recommend reviewing our terms and conditions or speaking with a representative to understand all associated costs upfront."
What if I can't find a specific spare part for my old commercial vehicle model?,"While 91trucks.com lists many spare parts and connects you with service centers, finding parts for very old or rare commercial vehicle models can be challenging. We recommend checking with multiple authorized service centers, independent parts dealers, or specialized vintage vehicle parts suppliers. Our support team can also guide you on available resources."
Can I get a custom-built commercial vehicle body through 91trucks?,"Yes, 91trucks.com can connect you with 'body makers' who specialize in custom-built commercial vehicle bodies. You can discuss your specific requirements with them to get a vehicle tailored to your business needs. Information on body makers can be found under our services section."
What if I need to transport a commercial vehicle I purchased from a different city?,"While 91trucks facilitates the purchase, vehicle transportation from one city to another is typically the buyer's responsibility. You can arrange for vehicle transportation services independently, or our dealership partners might offer logistics support. Please inquire about transport options directly with the dealer during your purchase."
What happens if my loan application through 91trucks's partners is rejected?,"If your loan application through 91trucks's NBFC partners is rejected, our team can help you understand the reasons for rejection (if provided by the lender) and explore alternative financing options. We can also advise on steps to improve your eligibility for future applications."
Is there a return policy for vehicles purchased on 91trucks.com?,"The return policy for vehicles purchased on 91trucks.com depends on the specific terms of the seller or dealership and whether the vehicle is new or used. Generally, new vehicles are subject to manufacturer and dealer return policies. For used vehicles, sales are typically final, but exceptions may apply in cases of misrepresentation. Please review the specific terms of sale before finalizing your purchase."
Outline the current funding status and future expansion plans of 91trucks.,"91trucks secured $5.02 million in Series A funding on May 5, 2025. This funding will be used to expand product and technology capabilities, scale their team, and expand their offline retail footprint to more than 20 stores. They aim to sell 10,000 commercial vehicles annually in the next three years."
Beyond just 'information what *specific types* of data does 91tractors provide about tractor manufacturers?,"Beyond general information, 91tractors provides specific data such as pricing, detailed specifications (e.g., engine capacity, HP, number of cylinders, fuel tank capacity), lists of authorized service centers, and dealership contact details for various tractor manufacturers."
How does 91trucks' 'phygital' model work and what role do its retail stores play in it?,"91trucks' 'phygital' model combines digital online services with a physical presence. Its retail stores act as key touchpoints for buying and selling used trucks, particularly small commercial vehicles, providing a tangible location for transactions, inspections, and customer support, complementing their online marketplace."
Explain the privacy policy in your own words focusing on what kind of data is not linked to personal information.,"The privacy policy ensures that anonymous data collected for website improvement (like usage statistics) is kept separate and is not linked to any personally identifiable information. Users' personal details, if voluntarily provided, are used only for requested services and communication, and are not sold or shared inappropriately."
What does the reported '8x revenue growth in the last two years' for 91trucks indicate especially in light of its FY 2023-24 financial figures?,"The '8x revenue growth in the last two years' indicates strong market adoption and increasing traction for 91trucks' services. Despite reporting a net loss of -₹96.34 Lakh in FY 2023-24, this revenue growth suggests the company is in a significant expansion phase, investing heavily in scaling its operations, technology, and physical footprint to capture market share, which can often result in short-term losses for long-term growth."
Can you tell me the exact Year-over-Year profit percentage for 91tractors?,"Specific Year-over-Year profit percentage or detailed financial data for 91tractors is not publicly disclosed."
"What is the website link for 91Trucks?","You can visit the 91Trucks website at https://www.91trucks.com"
"Where can I find more information about 91Trucks? (91trucks)","You can explore more about 91Trucks at https://www.91trucks.com"
"How can I contact 91Trucks?","You can get in touch with 91Trucks through their official website at https://www.91trucks.com"
"What is the official contact page for 91Trucks?","Visit https://www.91trucks.com for contact details and support from 91Trucks"
"Where is the 91Trucks customer support link?","Customer support for 91Trucks is available via https://www.91trucks.com"
"How do I get in touch with 91Trucks sales or support?","You can reach 91Trucks sales or support teams via their main website: https://www.91trucks.com"
"What is the website link for 91Tractors (91tractors)?","You can visit the 91Tractors website at https://www.91tractors.com"
"Where can I find more information about 91Tractors?","You can explore more about 91Tractors at https://www.91tractors.com"
"How can I contact 91Tractors?","You can get in touch with 91Tractors through their official website at https://www.91tractors.com"
"What is the official contact page for 91Tractors?","Visit https://www.91tractors.com for contact details and support from 91Tractors"
"Where is the 91Tractors customer support link?","Customer support for 91Tractors is available via https://www.91tractors.com"
"How do I get in touch with 91Tractors sales or support?","You can reach 91Tractors sales or support teams via their main website: https://www.91tractors.com"
"What is the website link for 91Infra?","You can visit the 91Infra website at https://www.91infra.com"
"Where can I find more information about 91Infra? (91infra)","You can explore more about 91Infra at https://www.91infra.com"
"How can I contact 91Infra?","You can get in touch with 91Infra through their official website at https://www.91infra.com"
"What is the official contact page for 91Infra?","Visit https://www.91infra.com for contact details and support from 91Infra"
"Where is the 91Infra customer support link?","Customer support for 91Infra is available via https://www.91infra.com"
"How do I get in touch with 91Infra sales or support?","You can reach 91Infra sales or support teams via their main website: https://www.91infra.com"
What is the most expensive highest price costlier vehicle in the dataset?,The most expensive vehicle is: Tata Starbus EV 4 12 Low Entry Electric Bus (Tata) - ₹2.20 Crore (Category: Bus)
What are the top 3 most expensive vehicles in the dataset?,The top 3 most expensive vehicles are: Tata Starbus EV 4 12 Low Entry Electric Bus (Tata) - ₹2.20 Crore (Category: Bus); Volvo 9600 (Volvo) - ₹2.00 Crore (Category: Bus); Tata Starbus Ultra City Electric (Tata) - ₹1.60 Crore (Category: Bus)
What are the top 5 most expensive vehicles in the dataset?,The top 5 most expensive vehicles are: Tata Starbus EV 4 12 Low Entry Electric Bus (Tata) - ₹2.20 Crore (Category: Bus); Volvo 9600 (Volvo) - ₹2.00 Crore (Category: Bus); Tata Starbus Ultra City Electric (Tata) - ₹1.60 Crore (Category: Bus); Olectra Meghaetron (Olectra) - ₹1.60 Crore (Category: Truck); Volvo B9R (Volvo) - ₹1.50 Crore (Category: Bus)
What is the cheapest vehicle in the dataset?,The cheapest vehicle is: Gayatri Electric Dabang E-Rickshaw (Gayatri Electric) - ₹1.00 Lakh (Category: Auto Rickshaws)
What are the top 3 cheapest vehicles in the dataset?,The top 3 cheapest vehicles are: Gayatri Electric Dabang E-Rickshaw (Gayatri Electric) - ₹1.00 Lakh (Category: Auto Rickshaws); Lohia Narain ICH (Lohia) - ₹1.00 Lakh (Category: Auto Rickshaws); Gayatri Electric Ice Cream Van (Gayatri Electric) - ₹1.00 Lakh (Category: Auto Rickshaws)
What are the top 5 cheapest vehicles in the dataset?,The top 5 cheapest vehicles are: Gayatri Electric Dabang E-Rickshaw (Gayatri Electric) - ₹1.00 Lakh (Category: Auto Rickshaws); Lohia Narain ICH (Lohia) - ₹1.00 Lakh (Category: Auto Rickshaws); Gayatri Electric Ice Cream Van (Gayatri Electric) - ₹1.00 Lakh (Category: Auto Rickshaws); Mini Metro M1 MS Battery Operated E Rickshaw (Mini Metro) - ₹1.00 Lakh (Category: Auto Rickshaws); Mini Metro Gold SS (Mini Metro) - ₹1.00 Lakh (Category: Auto Rickshaws)
What is 91infra?,91infra is a dedicated online platform for construction equipment providing detailed and accurate information on equipment prices variants features and reviews from various brands. It aims to be a trustworthy source for queries related to construction machinery.
What is the main purpose of the 91infra platform?,91infra is dedicated to providing detailed and accurate information on construction equipment prices variants features and reviews from various brands aiming to be a trustworthy source for construction machinery queries.
How does 91infra help users make purchasing decisions for construction equipment?,91infra helps users by providing comprehensive data on equipment prices variants features and reviews along with comparison tools to evaluate different models effectively.
Does 91infra provide information on specific brands of construction equipment?,Yes 91infra covers various brands of construction equipment offering detailed information on their models and features.
What kind of news and updates can I find on 91infra?,91infra features news and updates related to the construction industry and infrastructure projects in India.
Is 91infra involved in the direct sale or rental of construction equipment?,No 91infra primarily serves as an information and comparison platform for construction equipment not for direct sales or rentals.
What is 91tractors?,91tractors is a dedicated online platform for tractors providing reliable and detailed information on various tractor manufacturers including pricing specifications service centers dealership details and the latest news in the tractor industry.
What is the primary purpose of the 91tractors platform?,91tractors is a dedicated platform focusing on providing reliable and detailed information on various tractor manufacturers including pricing specifications and dealership details.
How does 91tractors assist farmers and businesses?,91tractors assists farmers and businesses by providing comprehensive information on tractors helping them stay updated on market trends compare models and make informed purchasing decisions.
Can I find details about tractor service centers on 91tractors?,Yes 91tractors provides information on authorized service centers for various tractor brands along with dealership details.
Does 91tractors list both new and used tractors?,91tractors primarily functions as an information hub that covers details about both new and potentially pre-owned tractors detailing specifications and prices to help users make buying decisions.
How does 91tractors keep users informed about the agricultural machinery market?,91tractors regularly provides the latest news and updates from the tractor industrys covering new models sales trends and other relevant developments.
What was the Series A funding amount raised by 91trucks and when?, "91trucks raised $5.02 million (approximately ₹41.7 crore) in Series A funding on May 5 2025."
"What is the price of Mahindra Jeeto?","Ex-showroom price in cities like Gurgaon ranges from ₹4.68 - ₹5.65 Lakh*, depending on the variant."
"What is the mileage of Mahindra Jeeto?","The diesel version averages around 35.9 km/l under claimed conditions. The Jeeto Plus/Diesel variant typically returns 29–32 kmpl depending on the variant."
"What engine does the Mahindra Jeeto have?","All variants use Mahindra’s 625 cc m_Dura single‑cylinder DI water‑cooled diesel engine, delivering 16 HP and 38 Nm torque."
"How many variants are available in Mahindra Jeeto?","There are 8 variants across three series: S‑series (2), L‑series (4), and X‑series (2)."
"What is the payload capacity of Mahindra Jeeto?","Base diesel Jeeto offers 600 kg payload, Jeeto Plus increases that to 715 kg, and the newer Jeeto Strong Diesel pushes capacity up to 815 kg."
"Can I buy Jeeto spare parts from the dealership?","Yes, you can. Genuine Jeeto spare parts are available at official Mahindra service centers and dealerships. Reputable online platforms also offer components like filters, brake parts, electricals, etc., for your Jeeto."
"What documents are required to purchase a Jeeto from a dealer?","To buy a Mahindra Jeeto from an authorized dealer, you'll typically need: Aadhar card (or other government ID), PAN card, Address proof (e.g., utility bill), Proof of income (salary slips or bank statements), Passport-size photos, Driving license, and if financing, KYC and income documents as per bank requirements."
